Trial,Subject,Color,Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time [ms],Sequence,Net Dwell Time [ms],Dwell Time [ms],Glance Duration [ms],Diversion Duration [ms],First Fixation Duration [ms],Glances Count,Revisits,Fixation Count,Appearance Count,Visible Time [ms],Visible Time [%],Net Dwell Time [%],Dwell Time [%],Fixation Time [ms],Fixation Time [%],Time to First Mouse Click [ms]
Trial006,P14,Crimson,rh.avi,brown toy,,Local,3,126681,6.1,0,110994,12012.7,116,5349.6,4697.9,5205,6029.1,274.7,12,11,15,1,39216,35.3,4.8,4.2,4549.9,4.1,-
Trial006,P14,Crimson,rh.avi,green toy,,Local,4,93726,4.5,0,110994,765.3,42,763.3,652,807.9,1007.7,100.7,3,2,4,1,39216,35.3,0.7,0.6,612.8,0.6,-
Trial006,P14,Crimson,rh.avi,leg 1,,Local,5,39328,1.9,0,110994,3716.8,68,14100,13172.9,14435.1,15592.5,187.9,27,26,41,3,101893,91.8,12.7,11.9,12662,11.4,-
Trial006,P14,Crimson,rh.avi,leg 2,,Local,6,32105,1.5,0,110994,5620.5,85,6036.9,5726.2,6375,7039.2,239.9,14,13,14,3,101893,91.8,5.4,5.2,5726.2,5.2,-
Trial006,P14,Crimson,rh.avi,hand 2,,Local,7,17196,0.8,0,110994,11715.6,113,1721.7,1507.2,1629.6,1794.9,235.8,3,2,3,3,101893,91.8,1.6,1.4,1507.2,1.4,-
Trial006,P14,Crimson,rh.avi,arm 2,,Local,8,14044,0.7,0,110994,-,-,129.1,0,0,0,0,0,-,0,3,101893,91.8,0.1,0,0,0,-
Trial006,P14,Crimson,rh.avi,hand 1,,Local,9,16891,0.8,0,110994,27704.8,165,6009.1,5276.5,5638,6167.3,228,9,8,15,3,101893,91.8,5.4,4.8,5000.7,4.5,-
Trial006,P14,Crimson,rh.avi,arm 1,,Local,10,15076,0.7,0,110994,49765.2,214,580.2,448.4,580.3,715.7,115.9,2,1,2,3,101893,91.8,0.5,0.4,448.4,0.4,-
Trial006,P14,Crimson,rh.avi,head,,Local,11,29274,1.4,0,110994,461.3,32,35138.7,31150.4,33351.3,35987.2,240,50,49,63,3,101893,91.8,31.7,28.1,30714.7,27.7,-
Trial006,P14,Crimson,rh.avi,torso,,Local,12,21715,1,0,110994,265.8,19,12904.7,10207.8,11426.1,12602.7,147.5,25,24,30,3,101893,91.8,11.6,9.2,9905.2,8.9,-
Trial005,P15,DarkBlue,hh.avi,speaker 2,,Local,1,37128,1.8,0,65203,-,-,92.2,0,0,0,0,0,-,0,1,13786,21.1,0.1,0,0,0,-
Trial005,P15,DarkBlue,hh.avi,speaker 1,,Local,2,39240,1.9,0,65203,21862.6,143,1379.4,1291.7,1484.4,1648.4,204.1,3,2,4,1,13786,21.1,2.1,2,1263.9,1.9,-
Trial005,P15,DarkBlue,hh.avi,brown toy,,Local,3,16048,0.8,0,65203,7029.1,94,2592.9,2363.4,2551.4,2760,292,4,3,7,1,16590,25.4,4,3.6,2147.4,3.3,-
Trial005,P15,DarkBlue,hh.avi,green toy,,Local,4,7876,0.4,0,65203,6633.4,90,929.3,863.3,971.7,1087.7,343.7,2,1,2,1,16590,25.4,1.4,1.3,863.3,1.3,-
Trial005,P15,DarkBlue,hh.avi,leg 1,,Local,5,22568,1.1,0,65203,28213.6,169,727.7,632.6,763.7,899.7,288,3,2,3,4,58516,89.7,1.1,1,632.6,1,-
Trial005,P15,DarkBlue,hh.avi,leg 2,,Local,6,19490,0.9,0,65203,8800.8,101,5178.4,5802.4,6046.1,6402.3,88,8,7,12,4,54610,83.8,7.9,8.9,5738.4,8.8,-
