"","p_id","aoi","cond1","time","cond","age","gender","familiarity","ownARobo","ICA","manipulation","AAP","ica"
"134","P06","head","robot",0.0245255887124527,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"135","P06","leg 1","human",0.0440186027564668,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"136","P06","leg 1","robot",0.18414470773315,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"137","P06","leg 2","human",0.0466533830026856,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"138","P06","leg 2","robot",0.116410513249103,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"139","P06","speaker 1","human",0.128724793268533,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"140","P06","speaker 1","robot",0.0533870269601781,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"141","P06","speaker 2","human",0,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"142","P06","speaker 2","robot",0,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"143","P06","torso","human",0.149017244891031,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"144","P06","torso","robot",0.195041726070498,"low",19,"f",-1,1,-2,-1,-5,"MEDIUM"
"145","P07","arm 1","human",0.0149976237354878,"low",18,"f",0,1,-10,-1,-4,"LOW"
"146","P07","arm 1","robot",0.00121521803254511,"low",18,"f",0,1,-10,-1,-4,"LOW"
"147","P07","arm 2","human",0.0153795233892321,"low",18,"f",0,1,-10,-1,-4,"LOW"
"148","P07","arm 2","robot",0.0148652966914114,"low",18,"f",0,1,-10,-1,-4,"LOW"
"149","P07","brown toy","human",0.125479204339964,"low",18,"f",0,1,-10,-1,-4,"LOW"
"150","P07","brown toy","robot",0.285740514075887,"low",18,"f",0,1,-10,-1,-4,"LOW"
"151","P07","green toy","human",0.00652200120554551,"low",18,"f",0,1,-10,-1,-4,"LOW"
"152","P07","green toy","robot",0.0129462464300286,"low",18,"f",0,1,-10,-1,-4,"LOW"
"153","P07","hand 1","human",0.0250746825989544,"low",18,"f",0,1,-10,-1,-4,"LOW"
"154","P07","hand 1","robot",0.0912396760237943,"low",18,"f",0,1,-10,-1,-4,"LOW"
